"B7" "B8" "B9" "B12" "B13" "B14" "B15" "B16" "B18A" "B18B" "B18C" "B18D" "B18E" "B18F" "B19A" "B19B" "B20"
"119" 24.9 "Yes" 57.2 "sometimes" "no" "never" 67.4 "sometimes" 32.2 23.9 18.1 13.2 12.4 39.5 75.7 74.3 69.3
"120" 54.7 "Yes" 25 "never" "yes" "never" 52.4 "never" 18.2 53.5 54.5 20.8 20.8 72.5 52.8 84.1 87.7
"121" 21.6 "Yes" 64.3 "sometimes" "no" "sometimes" 106.1 "sometimes" 53.5 3.7 3.5 4.9 4.4 78.5 58.6 13.5 67
"122" 5.3 "Yes" 33.6 "sometimes" "yes" "never" 109.3 "regularly" 43.9 4.5 3.4 4 3.6 35.9 15.6 49 9.1
"123" 57.6 "Yes" 10.4 "sometimes" "yes" "sometimes" 64.7 "never" 39 21.1 23.3 28.5 16.2 38.4 18.8 65.3 78
"124" 57.4 "No" 55.6 "sometimes" "yes" "never" 56 "I don't like" 55.2 31 11.2 10.7 10.7 50 19.9 50.7 54.5
"125" 53.6 "Yes" 71.6 "never" "yes" "never" 17 "I don't like" 16 1.7 4.6 2.5 2.5 48.4 24.7 18.4 50.6
"126" 18.7 "No" 43.5 "sometimes" "yes" "never" 56.3 "I don't like" 26.8 12.7 13.1 41.8 25.6 22.5 51.2 61.8 81.8
"127" NA "No" 36.1 "regularly" "yes" "sometimes" 83.9 "never" 50.7 10 10.3 11.2 43.1 59.7 21.1 51.2 54.1
"128" 80.1 "No" 27.5 "sometimes" "yes" "regularly" 73.8 "never" 15.6 42.4 14.3 18.5 18.7 26.6 79.6 96.9 73.8
"129" 71.4 "No" 14.8 "never" "no" "never" 53.7 "never" 42.3 5 3.9 2.7 2.9 88.2 76.3 19.4 59.1
"130" 66.4 "No" 14.6 "regularly" "yes" "sometimes" 52.3 "never" 35.2 76.8 29.3 0.4 25.3 40.8 39.7 60.4 88.4
"131" 57 "Yes" 78.1 "sometimes" "no" "sometimes" 75.9 "never" 13.7 13.5 8.1 9.3 8.5 35.1 57.7 76.2 102.9
"132" 53.8 "No" 53.9 "never" "no" "never" 107.2 "I don't like" 32.2 16.6 15.4 39.6 20.6 49.5 29 80.7 90.8
"133" 14.2 "No" 44.3 "sometimes" "no" "never" 63.6 "sometimes" 62.1 27.2 3 2.3 18.3 86.3 56.8 72.4 72.8
"134" 36 "Yes" 44.7 "never" "no" "sometimes" 81.9 "never" 30.5 59.3 21.8 51.9 32.9 24.3 44.9 NA 59.1
"135" 76.6 "Yes" 13.7 "sometimes" "no" "never" 53.1 "never" 72.7 20.5 17.3 18.4 10 53.3 71.8 45.5 74.1
"136" 49.9 "Yes" 31.3 "sometimes" "yes" "never" 64.1 "never" 35.1 18.4 9.4 5.6 5.2 22.6 50.3 78.3 59.8
"137" NA "No" 41 "sometimes" "no" "never" 57.4 "I don't like" 40.9 7.9 0.9 17.6 17.8 25.7 4.9 24.1 0.4
"138" 42.6 "No" 91 "sometimes" "yes" "never" 63.5 "never" 27 27.2 26.9 16.7 16 54.3 9.4 55.7 69.3
"139" 93.6 "No" 55.6 "never" "no" "regularly" 57.6 "never" 24.7 52.9 92.5 82.8 54.4 18.4 51 52.6 100.9
"140" 91 "Yes" 18.9 "sometimes" "yes" "never" 68.1 "never" 29.8 19.1 16.7 1.8 1.9 29.6 59.2 69.8 53.5
"141" 51.4 "Yes" 40.5 "sometimes" "no" "regularly" 55.9 "never" 40.1 20.1 18.2 17.5 15.3 78.5 80.8 80.2 80.6
"142" 93.8 "No" 17 "sometimes" "no" "sometimes" 77.1 "never" 101.7 10.8 16.8 15.5 133.9 92.2 103.3 95.8 93.6
"143" 81.9 "No" 22.1 "sometimes" "yes" "never" 84.8 "never" 3.5 1.9 32.3 1.9 1.8 97.4 58.8 98.1 94
"144" 20.6 "No" 41.3 "sometimes" "no" "sometimes" 88.5 "regularly" 72.3 11.1 13 14 36.9 63.8 68.4 82.6 84.8
"145" 57.1 "No" 85.2 "sometimes" "yes" "never" 2.3 "sometimes" 27.2 26.2 87.1 41.4 25.4 41 63.7 84 104
"146" 60.9 "No" 50.3 "sometimes" "yes" "never" 64.5 "never" 46.6 28.8 37 27.9 28.7 49.4 54.8 75.6 89
"147" 66.6 "No" 18.9 "sometimes" "no" "never" 67 "never" 40.7 19.6 12.9 18.3 23.7 57.3 43.6 82 41.5
"148" 0.1 "No" 24.4 "sometimes" "yes" "regularly" 91.7 "I don't like" 38 0.6 14 14.1 29.6 102.4 40 52.9 81
"149" 25.8 "No" 27 "sometimes" "yes" "never" 87.7 "never" 44.8 0.8 0.5 0 0.8 80.4 51.8 71.9 95.9
"150" 21.5 "No" 34.1 "regularly" "yes" "sometimes" 87.5 "sometimes" 91.7 30.2 14.4 14.3 28.7 82 19.6 16.5 59.6
"151" 47.3 "No" 54.1 "never" "yes" "never" 59.6 "never" 43.9 11.1 21.3 13.3 13.9 58.4 23.4 36.1 66.8
"152" 57.3 "Yes" 28.7 "sometimes" "yes" "never" 63.2 "never" 79.9 6.8 2.9 1.9 2.6 70.3 52.3 80.2 64.2
"153" 74.3 "Yes" 19.3 "never" "no" "sometimes" NA "never" 69.5 12.1 14.1 12.6 11.1 79.9 36.2 32.1 100.3
"154" 29.6 "No" 71.6 "sometimes" "no" "never" 74.9 "never" 90.6 23.5 22.6 33.9 46 68 25.8 31.9 78.4
"155" 49 "No" 26.7 "never" "no" "sometimes" 60.4 "I don't like" 41.4 24.2 0 60.8 41.7 43.8 0 47.1 89.7
"156" 33.3 "No" 24 "sometimes" "no" "never" 52.6 "sometimes" 40 0 0 0 19.7 73.8 65.8 82 66
"157" 35.4 "Yes" 39.7 "never" "no" "I don't like" 64.1 "sometimes" NA 39.2 5.1 21.7 22.9 57.8 28.7 29 62.6
"158" 56.2 "No" 52 "never" "no" "sometimes" 8 "never" 16.5 111.2 111.2 111.2 112 15.5 0 1 111.8
"159" 16.5 "No" 15.4 "regularly" "yes" "sometimes" 111.3 "I don't like" 35.2 3.1 2.4 2.9 2.4 76.6 48.5 56.6 99.7
"160" 71.5 "Yes" 46.1 "sometimes" "yes" "never" 84.1 "never" 84.1 7.6 7.8 0.2 0.1 102.1 33.3 84.8 100.3
"161" 61.7 "No" 26.5 "sometimes" "no" "never" 93.8 "never" 40.5 33.6 0 17 15.7 39.1 51.7 69.9 48.8
"162" 62.7 "No" 24 "regularly" "no" "regularly" 87.1 "I don't like" 30.9 20.5 20.2 14.7 14.7 31.5 23.1 59.8 41.3
"163" 18.4 "No" 87.4 "never" "yes" "never" 93.7 "never" 90 32.9 0.9 0.9 20 31.3 17.3 26.8 95.1
"164" 34.9 "Yes" 52 "sometimes" "yes" "never" 80.8 "sometimes" 70.3 13.7 14.3 16.7 1 80.1 27.5 69.7 74.5
"165" 62.6 "Yes" 8.4 "regularly" "no" "never" 58.3 "never" 30.2 24.5 16.3 26.7 29.5 19.3 39.9 70.9 83.6
"166" 39.7 "Yes" 21.9 "never" "no" "sometimes" 57.8 "sometimes" 111.8 17.6 16.6 0 0 38.5 54.5 68.8 77.1
"167" 58.5 "Yes" 54.4 "sometimes" "yes" "never" 108.1 "sometimes" 33 14.5 12.4 11.6 12.7 33.8 28.7 54.5 54.6
"168" 40.6 "No" 24.3 NA "yes" "regularly" 72.2 "I don't like" 21 21.8 21.4 2.4 40.6 39 42 86.3 78.6
"169" 58.8 "No" 25.1 "regularly" "yes" "never" 76.8 "never" 84.4 26.9 28.9 55.6 29.7 7.8 28.3 27.7 55.5
"170" 0.1 "No" 60.7 "sometimes" "yes" "sometimes" 112.5 "never" 30 0.3 0 0 16.1 79 93.2 48.9 23.3
"171" 54.2 "No" 20.6 "regularly" "no" "sometimes" 65.6 "regularly" 66.6 47.2 25.7 24.6 23.8 32.4 42.6 63.7 56.1
"172" 14.7 "No" 8 "sometimes" "yes" "never" 74.1 "regularly" 28.4 29.7 17.5 20.5 4.7 49.7 17.1 73 73.3
"173" 52.6 "No" 35.5 "sometimes" "yes" "regularly" 26.8 "never" 54.5 28.8 13.6 3.4 4.8 47.9 29.7 69.2 93.7
"174" 57.9 "No" 34.8 "regularly" "no" "regularly" 67.7 NA 45.8 20.9 20.4 19.3 18.4 42.2 56.6 40.2 95.5
"175" 35.6 "No" 77 "sometimes" "no" "never" 74.3 "sometimes" 64.3 21.6 35 15.1 41.4 60.3 35.1 79.9 91.8
"176" 5.1 "No" 21.3 "sometimes" "no" "never" 92 "never" 75.2 6.8 4.9 5.4 4.8 59.7 55.9 73 91
"177" 16.2 "No" 85.5 "sometimes" "no" "sometimes" 87.1 "never" 97.1 17.1 17.7 18.1 23.1 89.7 83.9 43.9 37.8
"178" 2.4 "No" 52.6 "never" "no" "never" 75.4 "never" 80.7 4.9 2 4.7 11.3 104.4 52.2 95.4 93.8
"179" 38.6 "No" 42.5 "sometimes" "no" "never" 77.7 "I don't like" 83.8 24.3 6.2 8.5 8.6 69 84.1 65.4 56.9
"180" 75.8 "No" 35 "regularly" "no" "never" 109.2 "never" 49.7 28.7 28.5 18.7 31.1 66.6 53.1 53.6 52.3
"181" 52.9 "No" 57.2 "sometimes" "no" "sometimes" 68.8 "never" 66.8 26.5 18 17 6.2 76 41 77.3 75.4
"182" 11.5 "No" 53.9 "regularly" "yes" "never" 75.2 "never" 96.2 13.9 14 14.7 14.7 95.8 52.6 54.8 100.4
"183" 52.6 "No" 36.7 "never" "no" "never" 59.6 "never" 41.5 41.2 26.1 26.1 25.8 44.2 53.4 37 35.7
"184" 23.3 "No" 19.3 "regularly" "yes" "never" 109.4 "never" 55.4 10.4 4.6 4.8 5.1 77.4 21.7 91.5 83.4
"185" 22 "No" 86.4 "sometimes" "no" "regularly" 57.8 "never" 34.6 45.2 20.7 46.7 47.3 75.6 43.8 79.9 79.9
"186" 30.6 "No" 57.7 "regularly" "yes" "never" 85.2 "sometimes" 89.8 14.2 13.8 8.5 1.5 81.5 53.8 55.9 104
"187" 68.5 "Yes" 48.4 "sometimes" "yes" "never" 62.1 "never" 28.8 41 63.7 14.2 5.6 60 31.2 42.9 109.1
"188" 63 "No" 36 "sometimes" "no" "never" 54.1 "never" 39.6 27.3 26.9 10 13.7 46.8 41.6 53.8 84.1
"189" 33.6 "No" 22.3 "never" "yes" "sometimes" 80.2 "never" 71.4 6.1 7.7 8.6 8.1 77.1 36.3 67 86.7
"190" 40.6 "No" 76.6 "never" "no" "never" 31.2 "I don't like" 21.3 21 27.7 19.4 19.7 34.9 17.5 72.8 103.7
