"Species" "Area" "Mean" "StdDev" "Mode" "Perim" "Width" "Height" "Major" "Minor" "Angle" "Circ" "Feret" "IntDen" "Median" "Skew" "Kurt"
"1155" "Rhyacophilanubila" 56124 61.487 21.836 56 2683.285 572 414 471.862 151.441 24.885 0.098 634.618 3450876 57 0.702 0.221
"1156" "Rhyacophilanubila" 55546 66.97 19.145 60 2603.812 557 466 463.928 152.445 38.733 0.103 628.984 3719922 64 0.657 0.458
"1157" "Rhyacophilanubila" 53585 68.589 22.644 61 2340.491 295 485 378.819 180.103 97.965 0.123 491.684 3675351 66 0.343 -0.514
"1158" "Rhyacophilanubila" 53380 62.222 25.006 52 2451.721 449 315 358.156 189.765 157.15 0.112 465.408 3321417 58 0.456 -0.478
"1159" "Rhyacophilanubila" 51311 59.725 25.998 51 2126.768 510 315 374.016 174.675 179.302 0.143 511.414 3064569 55 0.462 -0.477
"1160" "Rhyacophilanubila" 50982 57.783 24.388 47 2262.927 422 318 350.115 185.403 33.591 0.125 449.021 2945878 51 0.85 -0.106
"1161" "Rhyacophilanubila" 50924 56.011 24.036 47 1384.42 293 407 356.442 181.905 121.806 0.334 427.275 2852280 49 0.856 -0.043
"1162" "Rhyacophilanubila" 41084 71.866 22.788 64 2254.272 379 280 325.245 160.832 156.737 0.102 396.646 2952527 70 0.174 -0.499
"1163" "Rhyacophilanubila" 40423 73.934 23.692 71 2226.491 338 362 330.036 155.947 50.569 0.102 417.225 2988639 73 -0.002 -0.557
"1164" "Rhyacophilanubila" 40265 73.061 25.235 55 2238.591 404 268 328.844 155.901 16.695 0.101 411.866 2941784 71 0.087 -0.958
"1165" "Rhyacophilanubila" 39762 76.073 23.633 53 2083.839 322 350 322.951 156.762 128.666 0.115 399.516 3024801 75 0.072 -0.955
"1166" "Rhyacophilanubila" 39744 77.021 23.561 54 2085.839 303 365 323.342 156.502 122.086 0.115 397.217 3061141 77 0.056 -1.016
"1167" "Rhyacophilanubila" 36426 71.838 22.979 51 1844.677 321 336 351.063 132.11 47.375 0.135 405.265 2616765 67 0.368 -0.881
"1168" "Rhyacophilanubila" 32987 76.133 22.19 93 1784.56 333 283 288.88 145.39 148.674 0.13 363.208 2511397 79 -0.277 -0.584
"1169" "Rhyacophilanubila" 32795 62.539 22.326 57 1777.121 211 361 325.921 128.116 100.452 0.13 365.3 2050971 58 0.847 0.26
"1170" "Rhyacophilanubila" 32479 72.358 21.235 86 1793.288 323 310 286.871 144.154 134.772 0.127 362.327 2350130 73 0.07 -0.446
"1171" "Rhyacophilanubila" 30767 66.975 23.913 55 1586.629 356 284 356.048 110.024 144.672 0.154 405.406 2060620 61 0.548 -0.456
"1172" "Rhyacophilanubila" 30049 60.347 21.791 51 1539.357 245 363 277.541 137.852 101.452 0.159 364.664 1813357 56 0.819 0.394
"1173" "Rhyacophilanubila" 29868 58.943 22.371 51 1471.072 312 323 276.082 137.746 51.852 0.173 363.497 1760511 54 0.834 0.416
"1174" "Rhyacophilanubila" 29234 74.161 21.353 64 1746.553 251 383 354.535 104.988 117.014 0.12 412.918 2168024 70 0.395 -0.544
"1175" "Rhyacophilanubila" 29150 59.093 22.212 47 1482.303 356 239 271.768 136.569 176.127 0.167 361.359 1722549 54 0.89 0.321
"1176" "Rhyacophilanubila" 29144 62.809 25.391 46 1615.665 392 198 376.512 98.555 162.653 0.14 409.664 1830504 56 0.535 -0.447
"1177" "Rhyacophilanubila" 28750 67.865 23.426 54 1719.44 212 399 360.299 101.598 108.678 0.122 416.486 1951123 63 0.421 -0.359
"1178" "Rhyacophilanubila" 23549 81.058 17.957 80 1236.805 262 222 279.354 107.331 28.771 0.193 284.45 1908845 81 -0.277 0.691
"1179" "Rhyacophilanubila" 21031 69.36 22.174 56 1248.84 273 179 262.291 102.091 21.693 0.169 313.547 1458708 62 0.721 -0.559
"1180" "Rhyacophilanubila" 14650 75.85 22.782 59 1430.06 226 348 251.766 74.089 116.368 0.09 380.149 1111208 73 0.247 -0.891
"1181" "Rhyacophilanubila" 14461 80.56 20.17 69 1409.658 176 384 266.06 69.204 74.069 0.091 396.308 1164979 79 0.072 -0.56
"1182" "Rhyacophilanubila" 14392 73.028 24.32 61 1433.658 233 342 254.314 72.054 60.849 0.088 382.374 1051021 70 0.265 -0.855
"1183" "Rhyacophilanubila" 14337 81.553 19.623 70 1390.445 126 402 273.72 66.69 85.018 0.093 403.045 1169231 80 0.087 -0.582
"1184" "Rhyacophilanubila" 13738 81.595 20.916 68 1426.344 155 379 251.169 69.641 79.276 0.085 383.76 1120951 80 0.092 -0.775
"1185" "Taeniopteryxnebulose" 47759 49.584 41.037 0 3425.735 373 657 384.3 158.232 100.352 0.051 658.32 2368091 41 0.675 -0.631
"1186" "Taeniopteryxnebulose" 47524 52.822 41.474 11 3692.301 578 456 329.552 183.611 26.642 0.044 584.962 2510310 43 0.553 -0.905
"1187" "Taeniopteryxnebulose" 46513 77.505 33.567 38 3545.306 388 598 365.64 161.969 122.237 0.047 654.492 3604999 74 0.322 -1.218
"1188" "Taeniopteryxnebulose" 46086 62.296 32.351 24 3895.781 701 391 390.807 150.147 168.083 0.038 735.615 2870986 56 0.719 -0.365
"1189" "Taeniopteryxnebulose" 44669 64.68 35.575 24 3830.083 618 521 389.577 145.99 33.983 0.038 750.907 2889186 56 0.617 -0.793
"1190" "Taeniopteryxnebulose" 44293 52.009 42.86 0 4407.109 549 463 361.523 155.995 159.06 0.029 658.636 2303655 40 0.626 -0.939
"1191" "Taeniopteryxnebulose" 42467 68.404 34.308 39 3725.892 543 396 348.176 155.297 13.394 0.038 555.342 2904913 59 0.675 -0.822
"1192" "Taeniopteryxnebulose" 42232 56.431 42.392 0 4697.119 573 587 313.153 171.71 144.229 0.024 739.487 2383210 50 0.361 -1.073
"1193" "Taeniopteryxnebulose" 41796 50.981 37.944 0 3536.904 747 275 363.028 146.59 177.145 0.042 747.011 2130797 45 0.569 -0.567
"1194" "Taeniopteryxnebulose" 41784 73.37 30.586 43 3314.478 531 559 342.471 155.345 53.62 0.048 728.629 3065692 68 0.536 -0.752
"1195" "Taeniopteryxnebulose" 39828 77.523 33.123 75 3171.968 315 662 429.748 118.001 67.07 0.05 694.482 3087605 74 0.225 -0.999
"1196" "Taeniopteryxnebulose" 39695 60.894 38.408 17 4153.078 372 681 305.085 165.663 109.226 0.029 681.212 2417169 57 0.405 -0.936
"1197" "Taeniopteryxnebulose" 39242 54.16 46.286 0 3589.264 503 491 329.965 151.424 51.72 0.038 597.818 2125330 41 0.458 -1.216
"1198" "Taeniopteryxnebulose" 39179 70.725 33.256 43 4558.589 617 615 290.252 171.866 47.699 0.024 700.179 2770953 62 0.514 -0.9
"1199" "Taeniopteryxnebulose" 38522 72.836 32.743 39 3968.142 434 672 324.191 151.293 100.788 0.031 672.107 2805793 63 0.597 -0.963
"1200" "Taeniopteryxnebulose" 38316 73.782 36.715 35 3490.703 532 433 293.46 166.242 175.824 0.04 540.951 2827049 64 0.42 -1.251
"1201" "Taeniopteryxnebulose" 38276 55.283 37.624 21 2795.427 583 531 355.188 137.208 28.813 0.062 725.938 2115998 44 0.749 -0.632
"1202" "Taeniopteryxnebulose" 37841 85.034 26.898 56 3579.372 618 564 451.831 106.634 41.421 0.037 803.724 3217776 82 0.36 -0.874
