3015 2 3 3 8 9 6 8 8 8 8 7 7 6 7.00 6.00 5.00 5.50 9 7 8 7 6 7 7.50 5.00 6.00 5 5 8 8 8 7 7 8 6.60 6.30 35 29 33 38 36 30 35 37 25 28 44 32 31 31 2 2 3 3 3
3018 2 3 2 9 9 8 8 8 8 8 8 8 8 7.50 NA NA NA 8 7 8 8 8 8 8.50 NA NA 5 6 9 7 6 7 7 7 7.70 8.50 32 43 43 38 31 34 38 42 35 49 40 30 40 41 2 2 NA 2 1
3019 2 3 2 8 9 8 8 9 8 8 8 8 8 8.50 8.50 7.50 8.50 9 8 7 7 8 7 7.50 8.00 8.00 8 7 8 9 7 7 7 8 8.10 7.70 39 39 54 33 44 47 44 27 37 34 36 40 42 40 2 2 2 2 1
3021 2 3 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 9.80 9.70 39 36 39 45 29 49 32 35 33 60 44 49 47 47 NA NA NA 1 1
3023 2 3 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 37 36 33 36 42 36 34 34 31 34 28 36 31 30 NA NA NA NA 3
3025 2 3 3 5 5 NA 5 6 NA 7 6 5 5 NA NA NA NA 5 NA 8 8 7 7 NA NA NA NA NA 6 6 NA 6 5 NA 9.30 9.00 44 28 31 48 39 34 29 32 31 34 27 33 31 31 2 2 NA 1 3
3026 2 3 3 8 7 8 8 7 8 8 8 7 8 8.00 9.50 9.50 9.50 6 7 6 7 6 6 7.50 6.00 6.00 6 6 7 7 7 7 NA 7 7.50 7.30 44 44 33 38 44 41 43 34 55 34 47 41 44 43 3 3 3 2 1
3027 2 3 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 8.40 NA 32 29 33 30 36 30 31 37 29 32 40 33 29 29 NA NA NA 2 3
3028 2 3 3 6 6 NA 7 7 NA 8 7 6 5 NA NA NA NA 6 NA 6 7 8 7 NA NA NA NA NA 7 7 NA 8 6 NA NA NA 35 40 33 42 34 32 31 32 25 36 34 25 30 30 3 2 NA NA 3
3029 2 3 3 8 9 9 9 9 9 9 9 10 10 10.50 10.50 11.50 11.50 9 9 9 9 9 9 10.50 10.50 10.50 9 10 8 9 10 7 9 10 9.40 9.40 32 32 35 27 39 30 34 32 25 34 32 35 28 28 1 1 1 1 3
3032 2 3 1 8 8 7 8 7 8 8 8 8 8 10.50 9.50 10.50 10.50 8 8 8 9 8 9 9.50 9.50 9.50 9 8 8 7 8 8 8 8 8.70 8.50 30 28 33 39 24 28 41 35 37 32 38 32 31 33 2 1 1 1 3
3034 2 3 2 8 8 8 8 8 8 9 9 8 9 NA NA NA NA 8 7 9 9 8 8 NA NA NA 8 8 8 8 8 8 9 8 8.80 8.40 37 31 33 35 42 41 31 32 31 32 30 38 32 30 1 2 NA 1 3
